batch_size,layers,dropout_rate,n_filters,filter_size,fc_units,epoch,train_time,test_loss,accuracy
200,3,0.2,16,5,100,15,0 days 00:11:47.348426000,0.03484909269213676,0.9889
200,3,0.5,10,5,50,5,0 days 00:01:54.063314000,0.1449800308227539,0.954575
200,3,0.5,10,5,50,10,0 days 00:05:52.019098000,0.06622086876630782,0.978675
200,3,0.5,10,5,50,15,0 days 00:11:45.331663000,0.04609444729089737,0.985475
200,3,0.5,10,5,100,5,0 days 00:01:55.617570000,0.134261505150795,0.959425
200,3,0.5,10,5,100,10,0 days 00:05:50.920045000,0.0623120416522026,0.98045
200,3,0.5,10,5,100,15,0 days 00:11:43.201411000,0.041913282257318496,0.98685
200,3,0.5,16,5,50,5,0 days 00:01:56.892226000,0.12259985477924347,0.963025
200,3,0.5,16,5,50,10,0 days 00:05:55.384862000,0.05603839117288589,0.982125
200,3,0.5,16,5,50,15,0 days 00:11:49.088202000,0.03829228362441063,0.9884
200,3,0.5,16,5,100,5,0 days 00:01:53.244371000,0.12088357396125793,0.962375
200,3,0.5,16,5,100,10,0 days 00:05:49.086643000,0.056056934583187105,0.981975
200,3,0.5,16,5,100,15,0 days 00:11:43.972604000,0.036174923622608185,0.988475
200,3,0.75,10,5,50,5,0 days 00:01:55.960650000,0.1803652997970581,0.95105
200,3,0.75,10,5,50,10,0 days 00:05:52.442804000,0.07571933430433274,0.97705
200,3,0.75,10,5,50,15,0 days 00:11:48.253494000,0.05236378452181816,0.98425
200,3,0.75,10,5,100,5,0 days 00:01:53.683413000,0.14941786000728607,0.9549
200,3,0.75,10,5,100,10,0 days 00:05:49.217906000,0.06720700128674507,0.978725
200,3,0.75,10,5,100,15,0 days 00:11:43.527550000,0.042580454576015475,0.987425
200,3,0.75,16,5,50,5,0 days 00:01:53.397485000,0.1449828483581543,0.959775
200,3,0.75,16,5,50,10,0 days 00:05:50.210148000,0.06292251574993134,0.9814
